title,display_title
Housing Act 1985 part IX sub-section 265,Housing Act 1985 part IX section 265
Housing Act 1985 part IX sub-section 294,Housing Act 1985 part IX section 294
Housing Act 1985 sub-section 264,Housing Act 1985 section 264
Housing Act 2004 sub-section 11,Housing Act 2004 section 11
Housing Act 2004 sub-section 12,Housing Act 2004 section 12
Housing Act 2004 sub-section 20,Housing Act 2004 section 20
Housing Act 2004 sub-section 21,Housing Act 2004 section 21
Local Government and Housing Act 1989 sub-section 119,Local Government and Housing Act 1989 section 119
Local Government and Housing Act 1989 sub-section 121,Local Government and Housing Act 1989 section 121
Local Government and Housing Act 1989 sub-section 122,Local Government and Housing Act 1989 section 122
Local Government and Housing Act 1989 sub-section 123,Local Government and Housing Act 1989 section 123
Opencast Coal Act 1958 sub-section 11(1),Opencast Coal Act 1958 section 11(1)
Opencast Coal Act 1958 sub-section 16(6),Opencast Coal Act 1958 section 16(6)
Public Health Act 1875 sub-section 23,Public Health Act 1875 section 23
Public Health Act 1875 sub-section 24,Public Health Act 1875 section 24
Public Health Act 1875 sub-section 26,Public Health Act 1875 section 26
Town and Country Planning Act 1954 sub-section 28,Town and Country Planning Act 1954 section 28
Town and Country Planning Act 1954 sub-section 57,Town and Country Planning Act 1954 section 57
Town and Country Planning Act 1971 sub-section 158,Town and Country Planning Act 1971 section 158
Town and Country Planning Act 1971 sub-section 159,Town and Country Planning Act 1971 section 159
"Conservation of Habitats and Species regulations 2010, regulation 13",Conservation of Habitats and Species regulations 2010 regulation 13
"Crossrail Act 2008, section 47(10)",Crossrail Act 2008 section 47(10)
"Environmental Permitting (England and Wales) Regulations 2010, regulation 15",Environmental Permitting (England and Wales) regulations 2010 regulation 15
"Flood and Water Management Act 2010, schedule 1 (Effect of Designation), paragraph 5(1)",Flood and Water Management Act 2010 schedule 1 paragraph 5(1)
"Housing Act 2004 schedule 7, section 132, paragraph 10(9)",Housing Act 2004 schedule 7 section 132 paragraph 10(9)
"Housing Act 2004 schedule 7, section 132, paragraph 2",Housing Act 2004 schedule 7 section 132 paragraph 2
"Leasehold Reform, Housing and Urban Development Act 1993 section 70",Leasehold Reform Housing and Urban Development Act 1993 section 70
"Thames Water Utilities Limited (Thames Tidway Tunnel) Order 2014, section 52(8)",Thames Water Utilities Limited (Thames Tidway Tunnel) Order 2014 section 52(8)
"Town and Country Planning (Control of Advertisements) (England) regulations 1960, regulations 23",Town and Country Planning (Control of Advertisements) (England) regulations 1960 regulation 23
Community Infrastructure Levy Regulations 2010 regulation 66(1),Community Infrastructure Levy regulations 2010 regulation 66(1)
Caravan Sites and Control of Development Act 1960 section 9(3),Caravan Sites and Control of Development Act 1960 section 9I(3)
Wildlife and Countryside Act 1981 section 28,Wildlife and Countryside Act 1981 section 28(9)
"Thames Water Utilities Limited (Thames Tidway Tunnel) Order 2014 section 52(8)","Thames Water Utilities Limited (Thames Tideway Tunnel) Order 2014 section 52(8)"
Local Land Charges Act 1977 section 6(2),Local Land Charges Act 1975 section 6(2)
London Building Acts (Amendment) At 1939 section 70(2)(a),London Building Acts (Amendment) Act 1939 section 70(2)(a)
